Condition,Plant Name (Common),Plant Name (Latin),Key Parts Used,Preparation & Use,Key Action/Claim,Important Cautions
Diabetes,Bitter Melon,Momordica charantia,"Fruit, Juice","Juice, tea, cooked in food","Insulin-like compounds, may lower blood glucose",Strong effect.蟖an cause hypoglycemia. Avoid if pregnant.
Diabetes,Fenugreek,Trigonella foenum-graecum,Seeds,"Seeds soaked in water, powder in food",High soluble fiber slows sugar absorption,Can lower blood sugar significantly. May interact with diabetes meds.
Diabetes,Cinnamon (Ceylon),Cinnamomum verum,Bark,"Powder as spice, tea",May improve insulin sensitivity,Use Ceylon variety. High doses of Cassia cinnamon may be toxic to liver.
Diabetes,Gymnema Sylvestre,Gymnema sylvestre,Leaves,"Tea, extract","""Sugar destroyer,"" may reduce sugar cravings & absorption",Potent. Can drastically lower blood sugar levels. Monitor closely.
Heart Disease,Hawthorn,Crataegus spp.,"Berries, Leaves, Flowers","Tea, tincture, capsules","Cardio-tonic; may improve blood flow, heart muscle strength",Interacts with heart medications.痃o not use without doctor's advice.
Heart Disease,Garlic,Allium sativum,Clove (fresh crushed),"Raw in food, aged extract","May lower cholesterol & blood pressure, anti-platelet (thins blood)","Strong blood-thinner.狢nteracts with warfarin, aspirin, before surgery."
Heart Disease,Turmeric,Curcuma longa,Rhizome (root),"Powder in food, tea, extract (with black pepper)","Potent anti-inflammatory, may improve blood vessel function",High doses may cause stomach upset. Enhances blood-thinning.
Hypertension,Hibiscus,Hibiscus sabdariffa,Flowers,"Tea (sour, red)","Diuretic, may lower systolic & diastolic blood pressure",Can lower BP significantly. May interact with blood pressure meds.
Hypertension,Celery Seed,Apium graveolens,Seeds,"Extract, tea, culinary","Mild diuretic, vasodilator","Strong extracts may interact with diuretic (""water pill"") medications."
Hypertension,Olive Leaf,Olea europaea,Leaves,"Tea, extract",Contains oleuropein; may act as vasodilator,Can lower blood pressure and blood sugar. Monitor with meds.
Influenza,Elderberry,Sambucus nigra,Berries (cooked),"Syrup, lozenges, tea (commercial)",Antiviral; may reduce flu duration & severity,"NEVER eat raw berries鍟oxic.𡠻se only processed, reputable brands."
Influenza,Echinacea,Echinacea purpurea,"Root, Flowers","Tincture, tea at onset of symptoms",May stimulate immune response to fight infection,Not for long-term daily use. Some may be allergic (daisy family).
Influenza,Ginger,Zingiber officinale,Rhizome (fresh root),"Fresh tea, grated in food","Anti-inflammatory, antiviral, relieves nausea",Very safe in food amounts. High doses may interact with blood thinners.
Asthma,Boswellia / Frankincense,Boswellia serrata,Resin,"Extract, capsules",Strong anti-inflammatory for airways,Generally safe. May interact with NSAIDs (like ibuprofen).
Asthma,Mullein,Verbascum thapsus,"Leaves, Flowers","Tea, steam inhalation",Demulcent (soothes) respiratory tract irritation,Very gentle and safe for most. Ensure leaves are finely filtered from tea.
Asthma,CAUTION: Lobelia,Lobelia inflata,"Leaves, Seeds",EXTREME CAUTION - Professional use only,Potent antispasmodic for bronchial spasm,"TOXIC in high doses.蟖an cause nausea, vomiting, even death. Do not self-treat."
Obesity,Green Tea,Camellia sinensis,Leaves,"Tea (brewed), extract",EGCG & caffeine may boost metabolism & fat oxidation,"Contains caffeine. May cause anxiety, interact with stimulants, thin blood."
Obesity,Cayenne Pepper,Capsicum annuum,Fruit,"Powder in food, capsules","Capsaicin may increase metabolism, reduce appetite",Can cause stomach irritation. Avoid with ulcers or GERD.
Obesity,Dandelion,Taraxacum officinale,"Root, Leaves","Root tea (roasted), leaves in salad","Mild diuretic, liver support",May cause allergic reaction. Can act as a diuretic.
Obesity,NOTE: Garcinia Cambogia,Garcinia gummi-gutta,Fruit Rind,Extract,Marketed to block fat & suppress appetite,Weak/mixed evidence.猂inked to liver toxicity in some cases. Use caution.
